place,address,pos,open_time
구봉산 전망대 카페거리,구봉산전망대 강원도 춘천시 동면 장학리 139-54,"[35.1794129, 126.8985258]",
선유도 해수욕장,군산시 옥도면,"[35.8164298, 126.3930464]",
한택식물원,경기도 용인시 처인구 백암면 옥산리 365,"[37.094601, 127.404309]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
대현프리몰대구,대구광역시 중구 동성로2가 국채보상로 580,"[35.8708357, 128.5930887]","월요일
오전 11:00~오후 10:00
화요일
오전 11:00~오후 10:00
수요일
오전 11:00~오후 10:00
목요일
오전 11:00~오후 10:00
금요일
오전 11:00~오후 10:00
토요일
오전 11:00~오후 10:00
일요일
오전 11:00~오후 10:00"
함평 엑스포 공원 - 자연생태관,전라남도 함평군 함평읍 곤재로 27,"[35.0545523, 126.5181078]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
경복궁,서울특별시 종로구 세종로 사직로 161,"[37.579617, 126.974847]","월요일
오전 9:00~오후 6:00
화요일
휴무일
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
감천 문화마을,부산광역시 사하구 감천2동 감내1로 200,"[35.0973904, 129.0083984]","월요일
오전 9:00~오후 6:00
화요일
오전 9:00~오후 6:00
수요일
오전 9:00~오후 6:00
목요일
오전 9:00~오후 6:00
금요일
오전 9:00~오후 6:00
토요일
오전 9:00~오후 6:00
일요일
오전 9:00~오후 6:00"
앞산공원,대구광역시 대명9동,"[35.8199982, 128.5614475]",
우도,제주시 우도면,"[33.504296, 126.9364955]",
송도 센트럴 파크,인천광역시 연수구 송도2동 테크노파크로 193,"[37.3906212, 126.6349978]",
성산 일출봉,서귀포시 성산읍,"[33.4580543, 126.9249475]",
생각하는 정원,제주특별자치도 제주시 한경면 녹차분재로 675,"[33.3257082, 126.2530576]","월요일
오전 8:30~오후 6:00
화요일
오전 8:30~오후 6:00
수요일
오전 8:30~오후 6:00
목요일
오전 8:30~오후 6:00
금요일
오전 8:30~오후 6:00
토요일
오전 8:30~오후 6:00
일요일
오전 8:30~오후 6:00"
제주 올레길,제주특별자치도 서귀포시 서홍동,"[33.3960864, 126.0321962]",
 해동 용궁사,부산광역시 기장군 기장읍 용궁길 86,"[35.1883478, 129.2211174]","월요일
오전 5:00~오후 7:00
화요일
오전 5:00~오후 7:00
수요일
오전 5:00~오후 7:00
목요일
오전 5:00~오후 7:00
금요일
오전 5:00~오후 7:00
토요일
오전 5:00~오후 7:00
일요일
오전 5:00~오후 7:00"
함덕 서우봉 해변,제주시 조천읍,"[33.5433146, 126.6522988]",
해운대,부산광역시 해운대구,"[35.1769654, 129.1033879]",
에버랜드,경기도 용인시 처인구 포곡읍 에버랜드로,"[37.2896178, 127.1938341]",
남이섬,강원도 춘천시 남산면 남이섬길 1,"[37.7899352, 127.5236132]","월요일
오전 7:30~오후 9:45
화요일
오전 7:30~오후 9:45
수요일
오전 7:30~오후 9:45
목요일
오전 7:30~오후 9:45
금요일
오전 7:30~오후 9:45
토요일
오전 7:30~오후 9:45
일요일
오전 7:30~오후 9:45"
DMZ,철원군 동송읍,"[38.2260799, 127.2135815]",
불국사,경상북도 경주시 진현동 15-1,"[35.7900971, 129.3298984]","월요일
오전 7:30~오후 5:00
화요일
오전 7:30~오후 5:00
수요일
오전 7:30~오후 5:00
목요일
오전 7:30~오후 5:00
금요일
오전 7:30~오후 5:00
토요일
오전 7:30~오후 5:00
일요일
오전 7:30~오후 5:00"
태종대,부산광역시 영도구 동삼동 전망로 24,"[35.05307, 129.085006]","월요일
오전 5:00~오전 12:00
화요일
오전 5:00~오전 12:00
수요일
오전 5:00~오전 12:00
목요일
오전 5:00~오전 12:00
금요일
오전 5:00~오전 12:00
토요일
오전 5:00~오전 12:00
일요일
오전 5:00~오전 12:00"
유성온천 야외 족욕체험장,대전광역시 유성구 봉명동 574,"[36.3551483, 127.3424258]","월요일
오전 7:00~오후 11:00
화요일
오전 7:00~오후 11:00
수요일
오전 7:00~오후 11:00
목요일
오전 7:00~오후 11:00
금요일
오전 7:00~오후 11:00
토요일
오전 7:00~오후 11:00
일요일
오전 7:00~오후 11:00"
만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,"[33.528486, 126.769287]",
설악산 국립공원,강원도 속초시 설악동,"[38.1619614, 128.4398929]","월요일
휴무일
화요일
휴무일
수요일
휴무일
목요일
휴무일
금요일
휴무일
토요일
오전 9:00~오후 5:00
일요일
휴무일"
수원화성,경기도 수원시 장안구 영화동 320-2,"[37.2871202, 127.0097439]","월요일
24시간 영업
화요일
24시간 영업
수요일
24시간 영업
목요일
24시간 영업
금요일
24시간 영업
토요일
24시간 영업
일요일
24시간 영업"
경포해변,강릉시 경포동,"[37.8054845, 128.8902781]",
북한산 국립공원,서울특별시 성북구 정릉동 보국문로 262,"[37.6197679, 126.9933899]","월요일
오전 4:00~오후 5:00
화요일
오전 4:00~오후 5:00
수요일
오전 4:00~오후 5:00
목요일
오전 4:00~오후 5:00
금요일
오전 4:00~오후 5:00
토요일
오전 4:00~오후 5:00
일요일
오전 4:00~오후 5:00"
