name,province,pos
서울특별시,,"[37.563525, 126.6939001]"
부산광역시,,"[35.1643694, 128.9317153]"
대구광역시,,"[35.8796687, 128.4266154]"
인천광역시,,"[37.4644673, 126.5342656]"
광주광역시,,"[35.1766194, 126.7037153]"
대전광역시,,"[36.3730796, 127.3187599]"
울산광역시,,"[35.561969, 129.2114154]"
세종특별자치시,,"[36.5170676, 127.2345301]"
수원시,경기도,"[37.2787794, 126.95581]"
고양시,경기도,"[37.6559293, 126.72776]"
용인시,경기도,"[37.2839294, 127.07626]"
성남시,경기도,"[37.4002293, 127.07091]"
부천시,경기도,"[37.5004448, 126.7499805]"
화성시,경기도,"[37.1951448, 126.7760805]"
안산시,경기도,"[37.3201294, 126.73201]"
남양주시,경기도,"[37.6311793, 127.13471]"
안양시,경기도,"[37.3885448, 126.9020305]"
평택시,경기도,"[36.9947949, 127.0634805]"
시흥시,경기도,"[37.3811293, 126.68171]"
파주시,경기도,"[37.7614987, 126.7585904]"
의정부시,경기도,"[37.7325448, 127.0278805]"
김포시,경기도,"[37.6136987, 126.6968904]"
광주시,경기도,"[37.4040487, 127.2297404]"
광명시,경기도,"[37.4718948, 126.8315805]"
군포시,경기도,"[37.3594487, 126.9152404]"
하남시,경기도,"[37.5443487, 127.1933404]"
오산시,경기도,"[37.1515948, 127.0359805]"
양주시,경기도,"[37.8085448, 127.0385805]"
이천시,경기도,"[37.2806987, 127.4301904]"
구리시,경기도,"[37.6006987, 127.1244904]"
안성시,경기도,"[37.0112487, 127.2448904]"
포천시,경기도,"[37.8971997, 127.1926452]"
의왕시,경기도,"[37.3577948, 126.9395805]"
양평군,경기도,"[37.5157407, 127.3010483]"
여주시,경기도,"[37.2884077, 127.3015598]"
동두천시,경기도,"[37.9070448, 127.0221305]"
가평군,경기도,"[37.8147612, 127.1633551]"
과천시,경기도,"[37.4337448, 126.9651805]"
연천군,경기도,"[38.114864, 126.6977807]"
춘천시,강원도,"[37.8687948, 127.6973305]"
원주시,강원도,"[37.3499948, 127.9055805]"
강릉시,강원도,"[37.7636948, 128.8649805]"
동해시,강원도,"[37.5156948, 129.0930805]"
태백시,강원도,"[37.1628487, 128.9658904]"
속초시,강원도,"[38.2046487, 128.5710904]"
삼척시,강원도,"[37.4435487, 129.1467404]"
홍천군,강원도,"[37.7466972, 127.5077549]"
횡성군,강원도,"[37.4889051, 127.7508705]"
영월군,강원도,"[37.2139681, 127.9468529]"
평창군,강원도,"[37.5431915, 128.2237923]"
정선군,강원도,"[37.3685084, 128.4680901]"
철원군,강원도,"[38.2457598, 126.9123742]"
화천군,강원도,"[38.1385999, 127.3858951]"
양구군,강원도,"[38.2011737, 127.7350354]"
인제군,강원도,"[38.1285781, 127.9644925]"
고성군,강원도,"[38.4475036, 128.1175377]"
양양군,강원도,"[38.0345373, 128.3641]"
청주시,충청북도,"[36.6391295, 127.3996599]"
충주시,충청북도,"[36.9857949, 127.8923305]"
제천시,충청북도,"[37.1431448, 128.1665805]"
보은군,충청북도,"[36.4918354, 127.4324722]"
옥천군,충청북도,"[36.3079707, 127.4086872]"
영동군,충청북도,"[36.1646756, 127.5439422]"
증평군,충청북도,"[36.7816191, 127.5326131]"
진천군,충청북도,"[36.8801137, 127.296788]"
괴산군,충청북도,"[36.7766947, 127.5633913]"
음성군,충청북도,"[36.9944101, 127.4816065]"
단양군,충청북도,"[36.9795606, 128.1567901]"
천안시,충청남도,"[36.7966306, 126.9349334]"
공주시,충청남도,"[36.4589487, 127.1164404]"
보령시,충청남도,"[36.3486987, 126.5852904]"
아산시,충청남도,"[36.7813487, 126.9879404]"
서산시,충청남도,"[36.7798987, 126.4381904]"
논산시,충청남도,"[36.1957487, 127.0764404]"
계룡시,충청남도,"[36.2726949, 127.2215805]"
당진시,충청남도,"[36.9212025, 126.3231902]"
금산군,충청남도,"[36.1265668, 127.3384622]"
부여군,충청남도,"[36.2283526, 126.5956941]"
서천군,충청남도,"[36.0931163, 126.3793872]"
청양군,충청남도,"[36.4424792, 126.5689725]"
홍성군,충청남도,"[36.5650669, 126.3094833]"
예산군,충청남도,"[36.6649626, 126.4970592]"
태안군,충청남도,"[36.695858, 125.9489725]"
전주시,전라북도,"[35.8254797, 127.0615599]"
군산시,전라북도,"[35.9658449, 126.6760305]"
익산시,전라북도,"[35.9486449, 126.9416805]"
정읍시,전라북도,"[35.5758949, 126.8245305]"
남원시,전라북도,"[35.4137949, 127.3570805]"
김제시,전라북도,"[35.7996487, 126.8738404]"
완주군,전라북도,"[35.8750602, 126.9054197]"
진안군,전라북도,"[35.8266969, 127.1658878]"
무주군,전라북도,"[35.9278851, 127.4381669]"
장수군,전라북도,"[35.6533532, 127.3867415]"
임실군,전라북도,"[35.6199912, 126.9799896]"
순창군,전라북도,"[35.428171, 126.8043885]"
고창군,전라북도,"[35.440592, 126.3058327]"
부안군,전라북도,"[35.6817158, 125.909107]"
목포시,전라남도,"[34.8027799, 126.3501599]"
여수시,전라남도,"[34.75248, 127.6218099]"
순천시,전라남도,"[34.962995, 127.4698805]"
나주시,전라남도,"[35.016995, 126.6795805]"
광양시,전라남도,"[34.9354799, 127.6480099]"
담양군,전라남도,"[35.290906, 126.8444129]"
곡성군,전라남도,"[35.2022814, 127.1074283]"
구례군,전라남도,"[35.2322313, 127.355752]"
고흥군,전라남도,"[34.5619166, 127.0177501]"
보성군,전라남도,"[34.8031234, 126.960905]"
화순군,전라남도,"[35.0197101, 126.7327136]"
장흥군,전라남도,"[34.6450934, 126.6500548]"
강진군,전라남도,"[34.6096495, 126.6284447]"
해남군,전라남도,"[34.5240878, 126.2074839]"
영암군,전라남도,"[34.8040811, 126.3250799]"
무안군,전라남도,"[34.9739435, 126.1126185]"
함평군,전라남도,"[35.1043295, 126.3761945]"
영광군,전라남도,"[35.2998758, 126.0160624]"
장성군,전라남도,"[35.3398712, 126.6150134]"
완도군,전라남도,"[34.201885, 126.213478]"
진도군,전라남도,"[34.3558783, 125.8287802]"
신안군,전라남도,"[34.6268063, 125.1566267]"
포항시,경상북도,"[36.0192796, 129.2995599]"
경주시,경상북도,"[35.8533949, 129.1693305]"
김천시,경상북도,"[36.1357949, 128.0785805]"
