uid,sid,value
859,0,1
1014,1,1
1471,1,1
2231,1,1
88,2,1
293,2,1
2009,2,1
610,2,1
569,2,1
2313,2,1
2341,2,1
2196,2,1
1464,2,1
1166,2,1
1369,2,1
90,2,1
514,2,1
241,2,1
554,2,1
1033,2,1
2091,2,1
763,2,1
370,3,1
1787,3,1
2220,4,1
977,5,1
335,5,1
1779,5,1
2220,5,1
774,5,1
1298,5,1
1785,5,1
526,5,1
204,5,1
66,5,1
1138,5,1
1828,5,1
97,5,1
1983,5,1
1362,5,1
2412,5,1
353,5,1
286,5,1
0,5,1
1554,5,1
407,5,1
1438,5,1
1380,5,1
1122,5,1
387,5,1
670,5,1
2248,5,1
1120,5,1
1853,5,1
454,5,1
803,5,1
836,5,1
21,5,1
1707,5,1
968,5,1
2255,5,1
43,5,1
1293,5,1
843,5,1
2168,5,1
81,5,1
135,5,1
1496,5,1
2254,5,1
602,5,1
2174,5,1
2401,5,1
2177,5,1
2025,5,1
87,5,1
566,5,1
1590,5,1
1196,5,1
714,5,1
1285,5,1
1398,5,1
2062,5,1
729,5,1
1838,5,1
1009,5,1
999,5,1
1640,5,1
498,5,1
302,5,1
892,5,1
1545,5,1
1989,5,1
1699,5,1
2310,5,1
2343,5,1
155,5,1
275,5,1
812,5,1
1229,5,1
2066,5,1
35,5,1
1617,5,1
1003,5,1
1135,5,1
2047,5,1
112,5,1
217,5,1
1349,5,1
1200,5,1
1102,5,1
324,5,1
929,5,1
2261,5,1
1376,5,1
216,5,1
190,5,1
2327,5,1
377,5,1
2022,5,1
794,5,1
2058,5,1
2272,5,1
326,5,1
1919,5,1
969,5,1
2101,5,1
1250,5,1
1795,5,1
2377,5,1
109,5,1
480,5,1
1955,5,1
1168,5,1
1010,5,1
856,5,1
576,5,1
1978,5,1
1550,5,1
2088,5,1
2015,5,1
462,5,1
1615,5,1
1854,5,1
545,5,1
34,5,1
425,5,1
541,5,1
1692,5,1
1987,5,1
1443,5,1
2361,5,1
2362,5,1
1637,5,1
2156,5,1
589,5,1
512,5,1
1556,5,1
989,5,1
1437,5,1
1712,5,1
1604,5,1
1303,5,1
1117,5,1
1777,5,1
1091,5,1
